race,workclass,fnlwgt,education,education.num,marital.status,occupation,hours.per.week,native.country,income,sex
80,13,67083,20,13,40,50,40,90,5,1
80,10,290472,21,10,40,51,43,90,5,1
80,10,19056,20,13,40,52,40,90,6,1
80,10,9007,22,1,41,53,40,90,5,0
80,10,191341,23,2,41,51,40,90,5,1
80,10,228608,21,10,40,51,40,90,5,0
80,10,290472,21,10,41,52,40,90,6,1
80,10,173858,24,4,41,54,41,90,5,1
80,10,63685,25,9,41,55,50,90,5,1
80,10,139169,25,9,40,53,40,90,5,1
80,10,255386,25,9,40,51,40,90,5,1
80,10,355856,20,13,41,51,40,90,6,1
80,10,93034,25,9,40,53,40,90,5,1
80,10,91138,25,9,41,52,40,90,5,1
80,10,135339,26,8,41,55,40,90,6,1
80,10,98132,25,9,41,53,40,90,6,1
80,10,350440,21,10,41,51,40,90,6,1
80,11,303044,25,9,41,56,40,90,6,1
80,13,37683,27,13,40,52,57,91,6,0
81,13,3998,28,7,43,57,8,91,5,0
81,13,329880,25,9,40,51,40,91,5,1
81,13,365430,21,10,41,57,40,91,6,1
81,13,251393,30,11,41,52,43,91,6,1
81,13,162566,31,13,43,52,50,91,5,0
81,13,33365,25,9,44,54,40,91,5,0
81,13,190213,31,13,40,52,40,91,5,0
81,10,251905,27,13,40,52,40,91,5,1
81,10,139811,25,9,43,57,59,91,5,0
81,10,377401,25,9,41,58,70,91,6,1
81,10,34173,29,11,40,52,36,91,5,0
81,10,91435,24,4,41,58,65,91,5,1
81,10,133409,21,10,41,58,60,91,6,1
81,10,98755,32,16,41,50,50,91,6,1
81,10,186303,21,10,41,50,55,91,6,1
81,10,168387,20,13,41,52,40,91,6,1
81,10,190002,31,13,41,50,60,91,6,1
81,10,181667,25,9,41,53,41,91,5,1
81,10,509350,21,10,41,60,50,91,6,1
81,10,91419,20,13,43,50,40,91,5,0
81,10,91493,33,5,43,54,36,91,5,0
81,10,40083,32,16,40,52,40,91,5,1
81,10,98787,29,11,41,51,40,91,5,1
81,10,432565,29,11,41,59,40,91,6,0
81,10,443508,20,13,41,58,48,91,6,1
81,10,220410,25,9,40,51,40,91,5,1
81,10,247355,25,9,41,58,16,91,5,1
81,10,213616,25,9,40,52,40,91,5,0
81,10,288371,25,9,41,55,40,91,6,1
81,10,356838,32,16,41,52,50,91,5,1
81,10,209301,20,13,41,51,40,91,5,1
81,10,22936,21,10,40,54,11,91,5,1
81,10,34341,29,11,40,52,36,91,5,0
81,10,168837,21,10,41,57,24,91,6,0
81,10,23902,20,13,41,57,30,91,5,1
81,10,9198,25,9,40,54,30,91,5,1
81,10,185432,20,13,40,50,35,91,5,0
81,10,204021,25,9,40,58,40,91,5,1
81,10,41393,21,10,43,57,35,91,5,0
81,10,355320,20,13,41,52,43,91,6,1
81,10,176813,21,10,41,51,50,91,5,1
81,10,365613,34,6,40,54,10,91,5,1
81,10,98291,24,4,41,53,50,91,6,0
81,10,353693,21,10,40,54,20,91,5,1
81,10,298834,21,10,41,61,40,91,5,1
81,10,98343,25,9,41,50,41,91,6,0
81,10,191385,20,13,40,52,40,91,5,1
81,10,91613,28,7,43,58,40,91,5,1
81,10,98682,21,10,41,55,52,91,6,0
81,10,75024,25,9,43,55,25,91,5,0
81,10,168654,25,9,43,57,40,91,5,0
81,10,90760,25,9,41,57,50,91,6,0
81,10,187584,25,9,41,61,40,91,5,1
81,10,167980,33,5,41,53,40,91,5,1
81,10,230329,20,13,41,55,40,91,6,1
81,10,282744,20,13,41,56,40,91,5,1
81,10,17901,28,7,41,51,40,91,5,1
81,10,179366,20,13,40,50,30,91,5,1
81,10,91917,25,9,40,54,25,91,5,1
81,10,98741,21,10,41,59,50,91,6,1
82,10,232411,25,9,41,58,32,91,5,1
81,10,8910,21,10,40,57,40,91,5,0
81,10,190418,21,10,40,54,30,91,5,1
81,10,90179,20,13,40,57,35,91,5,0
81,10,93827,20,13,40,54,40,91,5,1
81,10,98385,25,9,43,57,40,91,5,0
81,10,98658,21,10,40,59,10,91,5,0
81,10,190403,21,10,43,50,60,91,5,1
81,10,132621,21,10,41,51,40,91,6,1
81,10,91559,29,11,41,51,40,91,6,1
81,10,136906,20,13,41,50,43,91,6,1
81,10,188064,25,9,41,51,35,91,5,1
81,10,187067,20,13,40,52,62,91,5,0
81,10,82041,28,7,40,60,40,91,5,1
81,10,98765,25,9,40,53,40,91,5,0
81,10,241891,20,13,41,50,72,91,6,1
81,10,338320,20,13,41,52,40,91,5,1
81,10,305781,25,9,40,55,43,91,5,1
81,10,173593,31,13,41,53,20,91,5,1
81,10,179188,21,10,43,57,40,91,5,1
81,10,82578,31,13,41,52,38,91,6,1
81,10,202989,25,9,40,52,40,91,5,1
81,10,41326,20,13,40,51,30,91,5,1
81,10,213341,21,10,40,51,60,91,5,1
81,10,406811,25,9,43,50,40,91,5,0
81,10,305673,29,11,41,51,40,91,6,1
81,11,165667,32,16,41,52,60,91,6,1
81,11,78530,25,9,41,50,65,91,6,1
81,11,139350,25,9,43,54,40,91,5,1
81,11,90886,34,6,44,55,40,91,5,0
81,11,187355,21,10,41,55,60,91,6,0
81,11,209391,20,13,41,51,50,91,5,1
81,11,268639,21,10,41,52,60,91,5,0
81,11,335605,25,9,41,54,50,91,6,1
81,11,263905,20,13,41,55,40,91,6,1
81,11,188912,32,16,43,52,10,91,5,0
81,11,91131,31,13,41,52,40,91,6,0
81,11,43093,25,9,43,51,43,91,5,1
81,11,89011,32,16,41,52,50,91,5,1
81,11,190691,35,3,41,56,70,91,5,1
81,11,204301,20,13,41,55,20,91,6,1
81,11,213887,32,16,41,52,32,91,6,1
81,11,190203,33,5,41,51,40,91,5,1
81,13,139019,20,13,41,50,40,91,6,1
81,13,37070,31,13,41,52,60,91,5,1
81,13,90041,21,10,40,54,40,91,5,0
80,13,175534,32,16,41,52,40,90,6,1
80,13,305767,25,9,41,54,40,90,5,1
80,13,98620,25,9,41,57,40,90,6,0
80,13,162551,20,13,40,52,35,90,5,0
80,10,139044,31,13,41,52,60,90,5,1
80,10,313640,32,16,41,52,40,90,6,1
80,10,133098,32,16,41,52,40,90,6,1
80,10,138370,24,4,41,54,40,90,5,1
80,10,160261,25,9,40,59,35,90,6,1
80,10,13498,25,9,41,54,60,90,5,1
80,10,193025,32,16,41,52,60,90,5,1
80,10,90983,20,13,43,54,40,90,5,1
80,10,67222,20,13,40,53,43,90,5,1
80,10,233915,31,13,41,52,43,90,6,1
80,10,162551,24,4,41,53,48,90,5,0
80,10,356250,27,13,41,55,35,90,5,1
80,10,19860,31,13,41,52,40,90,5,1
80,10,166386,20,13,41,53,40,90,5,0
80,10,353984,20,13,41,50,40,90,6,0
